Date,Region,Confirmed,Deaths,Recovered
06-05-2023,Afghanistan,36263,1269,25198
06-05-2023,Albania,4880,144,2745
06-05-2023,Algeria,27973,1163,18837
06-05-2023,Andorra,907,52,803
06-05-2023,Angola,950,41,242
06-05-2023,Antigua and Barbuda,86,3,65
06-05-2023,Argentina,167416,3059,72575
06-05-2023,Armenia,37390,711,26665
06-05-2023,Australia,15303,167,9311
06-05-2023,Austria,20558,713,18246
06-05-2023,Azerbaijan,30446,423,23242
06-05-2023,Bahamas,382,11,91
06-05-2023,Bahrain,39482,141,36110
06-05-2023,Bangladesh,226225,2965,125683
06-05-2023,Barbados,110,7,94
06-05-2023,Belarus,67251,538,60492
06-05-2023,Belgium,66428,9822,17452
06-05-2023,Belize,48,2,26
06-05-2023,Benin,1770,35,1036
06-05-2023,Bhutan,99,0,86
06-05-2023,Bolivia,71181,2647,21478
06-05-2023,Bosnia and Herzegovina,10498,294,4930
06-05-2023,Botswana,739,2,63
06-05-2023,Brazil,2442375,87618,1846641
06-05-2023,Brunei,141,3,138
06-05-2023,Bulgaria,10621,347,5585
06-05-2023,Burkina Faso,1100,53,926
06-05-2023,Burma,350,6,292
06-05-2023,Burundi,378,1,301
06-05-2023,Cabo Verde,2328,22,1550
06-05-2023,Cambodia,226,0,147
06-05-2023,Cameroon,17110,391,14539
06-05-2023,Canada,116458,8944,0
06-05-2023,Central African Republic,4599,59,1546
06-05-2023,Chad,922,75,810
06-05-2023,Chile,347923,9187,319954
06-05-2023,China,86783,4656,78869
06-05-2023,Colombia,257101,8777,131161
06-05-2023,Comoros,354,7,328
06-05-2023,Congo (Brazzaville),3200,54,829
06-05-2023,Congo (Kinshasa),8844,208,5700
06-05-2023,Costa Rica,15841,115,3824
06-05-2023,Cote d'Ivoire,15655,96,10361
06-05-2023,Croatia,4881,139,3936
06-05-2023,Cuba,2532,87,2351
06-05-2023,Cyprus,1060,19,852
06-05-2023,Czechia,15516,373,11428
06-05-2023,Denmark,13761,613,12605
06-05-2023,Djibouti,5059,58,4977
06-05-2023,Dominica,18,0,18
06-05-2023,Dominican Republic,64156,1083,30204
06-05-2023,Ecuador,81161,5532,34896
06-05-2023,Egypt,92482,4652,34838
06-05-2023,El Salvador,15035,408,7778
06-05-2023,Equatorial Guinea,3071,51,842
06-05-2023,Eritrea,265,0,191
06-05-2023,Estonia,2034,69,1923
06-05-2023,Eswatini,2316,34,1025
06-05-2023,Ethiopia,14547,228,6386
06-05-2023,Fiji,27,0,18
06-05-2023,Finland,7398,329,6920
06-05-2023,France,220352,30212,81212
06-05-2023,Gabon,7189,49,4682
06-05-2023,Gambia,326,8,66
06-05-2023,Georgia,1137,16,922
06-05-2023,Germany,207112,9125,190314
06-05-2023,Ghana,33624,168,29801
06-05-2023,Greece,4227,202,1374
06-05-2023,Greenland,14,0,13
06-05-2023,Grenada,23,0,23
06-05-2023,Guatemala,45309,1761,32455
06-05-2023,Guinea,7055,45,6257
06-05-2023,Guinea-Bissau,1954,26,803
06-05-2023,Guyana,389,20,181
06-05-2023,Haiti,7340,158,4365
06-05-2023,Holy See,12,0,12
06-05-2023,Honduras,39741,1166,5039
06-05-2023,Hungary,4448,596,3329
06-05-2023,Iceland,1854,10,1823
06-05-2023,India,1480073,33408,951166
06-05-2023,Indonesia,100303,4838,58173
06-05-2023,Iran,293606,15912,255144
06-05-2023,Iraq,112585,4458,77144
06-05-2023,Ireland,25892,1764,23364
06-05-2023,Israel,63985,474,27133
06-05-2023,Italy,246286,35112,198593
06-05-2023,Jamaica,853,10,714
06-05-2023,Japan,31142,998,21970
06-05-2023,Jordan,1176,11,1041
06-05-2023,Kazakhstan,84648,585,54404
